Package,Built
abind,3.5.0
acepack,3.5.0
AER,3.5.0
akima,3.5.0
anytime,3.5.0
assertthat,3.5.0
AUC,3.5.0
audio,3.5.0
backports,3.5.0
base64enc,3.5.0
bayesplot,3.5.0
bbmle,3.5.0
bdsmatrix,3.5.0
bench,3.5.1
betareg,3.5.0
BH,3.5.2
bibtex,3.5.0
biglm,3.5.0
bindr,3.5.0
bindrcpp,3.5.0
binGroup,3.5.0
bit,3.5.0
bit64,3.5.0
bitops,3.5.0
blob,3.5.0
blogdown,3.5.0
bookdown,3.5.0
brew,3.5.0
bridgesampling,3.5.0
brms,3.5.0
Brobdingnag,3.5.0
broom,3.5.0
BRRR,3.5.1
btergm,3.5.0
callr,3.5.0
car,3.5.0
carData,3.5.0
caret,3.5.1
caTools,3.5.0
cellranger,3.5.0
checkmate,3.5.0
Ckmeans.1d.dp,3.5.0
cli,3.5.0
cliapp,3.5.1
clipr,3.5.0
clisymbols,3.5.0
cobs,3.5.0
coda,3.5.0
colorspace,3.5.0
colourpicker,3.5.0
commonmark,3.5.0
conflicted,3.5.1
covr,3.5.0
crancache,3.5.1
cranlike,3.5.1
cranlogs,3.5.1
crayon,3.5.0
crosstalk,3.5.0
curl,3.5.2
data.table,3.5.0
datapasta,3.5.0
DBI,3.5.0
dbplyr,3.5.0
debugme,3.5.0
DEoptimR,3.5.0
desc,3.5.0
devtools,3.5.2
DiagrammeR,3.5.1
DiagrammeRsvg,3.5.0
digest,3.5.0
diptest,3.5.0
doParallel,3.5.0
downloader,3.5.0
dplyr,3.5.1
DT,3.5.1
dygraphs,3.5.0
e1071,3.5.0
emmeans,3.5.0
enc,3.5.0
ergm,3.5.0
estimability,3.5.0
evaluate,3.5.0
excelgesis,3.5.1
extraDistr,3.5.0
extrafont,3.5.0
extrafontdb,3.5.0
fansi,3.5.1
farver,3.5.0
filehash,3.5.0
filelock,3.5.0
fit.models,3.5.0
flexmix,3.5.0
FNN,3.5.0
forcats,3.5.0
foreach,3.5.0
forecast,3.5.0
formatR,3.5.0
Formula,3.5.0
fortunes,3.5.0
fpc,3.5.0
fracdiff,3.5.0
fs,3.5.0
gam,3.5.0
gamlss,3.5.0
gamlss.data,3.5.0
gamlss.dist,3.5.0
gapminder,3.5.0
gargle,3.5.1
gbRd,3.5.0
gdata,3.5.0
geepack,3.5.0
generics,3.5.1
GERGM,3.5.0
ggforce,3.5.0
gghighlight,3.5.1
ggplot2,3.5.1
ggraph,3.5.0
ggrepel,3.5.0
ggridges,3.5.0
gh,3.5.1
gifski,3.5.0
git2r,3.5.2
glmnet,3.5.0
glue,3.5.0
gmailr,3.5.0
gmm,3.5.0
gmp,3.5.0
googledrive,3.5.1
googlesheets,3.5.0
googlesheets4,3.5.1
gower,3.5.0
gplots,3.5.0
gridExtra,3.5.0
gtable,3.5.0
gtools,3.5.0
haven,3.5.0
here,3.5.0
highlight,3.5.0
highlite,3.5.1
highr,3.5.0
Hmisc,3.5.0
hms,3.5.0
hrbrthemes,3.5.0
htmlTable,3.5.0
htmltools,3.5.0
htmlwidgets,3.5.0
httpuv,3.5.0
httr,3.5.0
hunspell,3.5.0
igraph,3.5.0
import,3.5.0
influenceR,3.5.0
ini,3.5.0
inline,3.5.0
ipred,3.5.0
irlba,3.5.0
iterators,3.5.0
jadd,3.5.1
janitor,3.5.1
joineRML,3.5.0
jpeg,3.5.0
jsonlite,3.5.0
JuliaCall,3.5.0
Kendall,3.5.0
kernlab,3.5.0
knitr,3.5.2
ks,3.5.0
labeling,3.5.0
Lahman,3.5.0
later,3.5.0
latticeExtra,3.5.0
lava,3.5.0
lavaan,3.5.0
lazyeval,3.5.0
lfe,3.5.0
lintr,3.5.0
lme4,3.5.0
lmodel2,3.5.0
lmtest,3.5.0
lobstr,3.5.1
loo,3.5.0
lookup,3.5.1
lpSolve,3.5.0
lsmeans,3.5.0
lubridate,3.5.0
magick,3.5.0
magrittr,3.5.0
manipulateWidget,3.5.0
maps,3.5.0
maptools,3.5.0
markdown,3.5.0
matrixcalc,3.5.0
MatrixModels,3.5.0
matrixStats,3.5.0
maxLik,3.5.0
mclust,3.5.0
mediation,3.5.0
memoise,3.5.0
mime,3.5.0
miniUI,3.5.0
minqa,3.5.0
miscTools,3.5.0
mnormt,3.5.0
mockery,3.5.0
mockr,3.5.0
ModelMetrics,3.5.0
modelr,3.5.0
modeltests,3.5.1
modeltools,3.5.0
moments,3.5.0
muhaz,3.5.0
multcomp,3.5.0
multicool,3.5.0
munsell,3.5.0
mvtnorm,3.5.0
network,3.5.0
nleqslv,3.5.0
nloptr,3.5.0
numDeriv,3.5.0
nycflights13,3.5.0
openssl,3.5.0
openxlsx,3.5.0
orcutt,3.5.0
ordinal,3.5.0
packrat,3.5.0
parsedate,3.5.0
partitions,3.5.0
pbivnorm,3.5.0
pbkrtest,3.5.0
pcaPP,3.5.0
pdftools,3.5.0
permute,3.5.0
pillar,3.5.0
pingr,3.5.0
pkgbuild,3.5.1
pkgcache,3.5.1
pkgconfig,3.5.0
pkgdepends,3.5.1
pkgdown,3.5.1
pkgload,3.5.0
PKI,3.5.0
plm,3.5.0
plogr,3.5.0
plyr,3.5.0
png,3.5.0
poLCA,3.5.0
polynom,3.5.0
prabclus,3.5.0
praise,3.5.0
prettycode,3.5.0
prettyunits,3.5.0
processx,3.5.0
prodlim,3.5.0
profmem,3.5.0
progress,3.5.1
promises,3.5.0
ps,3.5.1
psych,3.5.0
purrr,3.5.0
quadprog,3.5.0
quantmod,3.5.0
quantreg,3.5.0
R6,3.5.0
randtoolbox,3.5.0
rap,3.5.1
RApiDatetime,3.5.0
rappdirs,3.5.0
rcmdcheck,3.5.1
RColorBrewer,3.5.0
Rcpp,3.5.0
RcppArmadillo,3.5.0
RcppEigen,3.5.0
RcppParallel,3.5.0
RcppRoll,3.5.0
RCurl,3.5.0
Rdpack,3.5.0
readr,3.5.1
readxl,3.5.0
recipes,3.5.0
rem,3.5.0
rematch,3.5.0
rematch2,3.5.0
remotes,3.5.1
reprex,3.5.1
reshape2,3.5.0
reticulate,3.5.0
revdepcheck,3.5.1
rex,3.5.0
rgeos,3.5.0
rgexf,3.5.0
rgl,3.5.0
rhub,3.5.0
rio,3.5.0
rJava,3.5.0
RJSONIO,3.5.0
rlang,3.5.2
rmarkdown,3.5.0
rngWELL,3.5.0
robust,3.5.0
robustbase,3.5.0
ROCR,3.5.0
Rook,3.5.0
roxygen2,3.5.0
rprojroot,3.5.0
rrcov,3.5.0
rsample,3.5.1
rsconnect,3.5.1
RSiena,3.5.0
RSQLite,3.5.0
rstan,3.5.0
rstanarm,3.5.0
rstantools,3.5.0
rstudioapi,3.5.2
rsvg,3.5.0
Rttf2pt1,3.5.0
rvest,3.5.0
sandwich,3.5.0
scales,3.5.0
scatterplot3d,3.5.0
selectr,3.5.0
servr,3.5.0
sessioninfo,3.5.1
shiny,3.5.0
shinyjs,3.5.0
shinystan,3.5.0
shinythemes,3.5.0
showtext,3.5.0
showtextdb,3.5.0
slackr,3.5.0
sna,3.5.0
snakecase,3.5.0
sourcetools,3.5.0
sp,3.5.0
SparseM,3.5.0
speedglm,3.5.0
spelling,3.5.0
SQUAREM,3.5.0
StanHeaders,3.5.0
statnet.common,3.5.0
stringdist,3.5.0
stringi,3.5.0
stringr,3.5.0
styler,3.5.0
survey,3.5.0
sysfonts,3.5.0
tesseract,3.5.0
testit,3.5.0
testthat,3.5.0
texreg,3.5.0
TH.data,3.5.0
threejs,3.5.0
tibble,3.5.2
tidygraph,3.5.0
tidyr,3.5.0
tidyselect,3.5.0
tidytemplate,3.5.1
tidyverse,3.5.0
tikzDevice,3.5.0
timeDate,3.5.0
tinytex,3.5.2
tnam,3.5.0
travis,3.5.1
trimcluster,3.5.0
trust,3.5.0
tseries,3.5.0
tsibble,3.5.0
TTR,3.5.0
tweenr,3.5.0
ucminf,3.5.0
units,3.5.0
urca,3.5.0
uroot,3.5.0
usethis,3.5.1
utf8,3.5.0
uuid,3.5.0
V8,3.5.0
vcd,3.5.0
vctrs,3.5.1
vegan,3.5.0
viridis,3.5.0
viridisLite,3.5.0
visNetwork,3.5.0
webshot,3.5.0
whisker,3.5.0
whoami,3.5.0
withr,3.5.0
xergm,3.5.0
xergm.common,3.5.0
xfun,3.5.0
xgboost,3.5.1
XML,3.5.0
xml2,3.5.0
xopen,3.5.0
xtable,3.5.0
xts,3.5.0
yaml,3.5.0
zeallot,3.5.0
zip,3.5.0
zoo,3.5.0
