Package,LibPath,Version,Priority,Built
abind,/Users/jenny/resources/R/library,1.4-5,NA,3.5.0
acepack,/Users/jenny/resources/R/library,1.4.1,NA,3.5.0
AER,/Users/jenny/resources/R/library,1.2-5,NA,3.5.0
akima,/Users/jenny/resources/R/library,0.6-2,NA,3.5.0
anytime,/Users/jenny/resources/R/library,0.3.2,NA,3.5.0
assertthat,/Users/jenny/resources/R/library,0.2.0,NA,3.5.0
AUC,/Users/jenny/resources/R/library,0.3.0,NA,3.5.0
audio,/Users/jenny/resources/R/library,0.1-5.1,NA,3.5.0
backports,/Users/jenny/resources/R/library,1.1.3,NA,3.5.0
base64enc,/Users/jenny/resources/R/library,0.1-3,NA,3.5.0
bayesplot,/Users/jenny/resources/R/library,1.6.0,NA,3.5.0
bbmle,/Users/jenny/resources/R/library,1.0.20,NA,3.5.0
bdsmatrix,/Users/jenny/resources/R/library,1.3-3,NA,3.5.0
bench,/Users/jenny/resources/R/library,1.0.1.9000,NA,3.5.1
betareg,/Users/jenny/resources/R/library,3.1-1,NA,3.5.0
BH,/Users/jenny/resources/R/library,1.69.0-1,NA,3.5.2
bibtex,/Users/jenny/resources/R/library,0.4.2,NA,3.5.0
biglm,/Users/jenny/resources/R/library,0.9-1,NA,3.5.0
bindr,/Users/jenny/resources/R/library,0.1.1,NA,3.5.0
bindrcpp,/Users/jenny/resources/R/library,0.2.2,NA,3.5.0
binGroup,/Users/jenny/resources/R/library,2.2-1,NA,3.5.0
bit,/Users/jenny/resources/R/library,1.1-14,NA,3.5.0
bit64,/Users/jenny/resources/R/library,0.9-7,NA,3.5.0
bitops,/Users/jenny/resources/R/library,1.0-6,NA,3.5.0
blob,/Users/jenny/resources/R/library,1.1.1,NA,3.5.0
blogdown,/Users/jenny/resources/R/library,0.9,NA,3.5.0
bookdown,/Users/jenny/resources/R/library,0.9,NA,3.5.0
brew,/Users/jenny/resources/R/library,1.0-6,NA,3.5.0
bridgesampling,/Users/jenny/resources/R/library,0.6-0,NA,3.5.0
brms,/Users/jenny/resources/R/library,2.6.0,NA,3.5.0
Brobdingnag,/Users/jenny/resources/R/library,1.2-6,NA,3.5.0
broom,/Users/jenny/resources/R/library,0.5.0,NA,3.5.0
BRRR,/Users/jenny/resources/R/library,1.2,NA,3.5.1
btergm,/Users/jenny/resources/R/library,1.9.3,NA,3.5.0
callr,/Users/jenny/resources/R/library,3.1.1,NA,3.5.0
car,/Users/jenny/resources/R/library,3.0-2,NA,3.5.0
carData,/Users/jenny/resources/R/library,3.0-2,NA,3.5.0
caret,/Users/jenny/resources/R/library,6.0-81,NA,3.5.1
caTools,/Users/jenny/resources/R/library,1.17.1.1,NA,3.5.0
cellranger,/Users/jenny/resources/R/library,1.1.0,NA,3.5.0
checkmate,/Users/jenny/resources/R/library,1.8.5,NA,3.5.0
Ckmeans.1d.dp,/Users/jenny/resources/R/library,4.2.2,NA,3.5.0
cli,/Users/jenny/resources/R/library,1.0.1,NA,3.5.0
